B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00003474	003382	玩出好心情-情緒教育動起來	報廢		一般圖書			V1		"本館藏書	"				92-12-18
00003475	003383	繪本教學有一套	報廢		一般圖書			V1		"本館藏書	"				92-12-18
00003476	003384	開放教學總動員-25本童書教學活動設計	館內架上		一般圖書			V1		"本館藏書	"				92-12-18
00003477	003385	威廉的洋娃娃	報廢		一般圖書			V1		"本館藏書	"				92-12-18
00003477	003385	語言本能	報廢		一般圖書			V1		"本館藏書	"				92-12-18
00003478	003386	現代父母	報廢		一般圖書			V1		"本館藏書	"				92-12-18
00003479	003387	為什麼?要多一個寶寶?	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003479	003387	家燕	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003480	003388	小水滴和蚯丘的話	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003481	003389	蟹兒的天地	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003482	003390	沙漠的一天	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003482	003390	媽媽爸爸不住一起了	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003483	003391	認識星座	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003484	003392	野花野果端上桌	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003485	003393	現代的武器	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003486	003394	水鳥的世界	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003487	003395	雅博曼陀的夢	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003487	003395	寄生植物	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003488	003396	螃蟹的自述	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003489	003397	好親戚	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003489	003397	艾瑪畫畫	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003490	003398	觀察自然	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003490	003398	瑪德琳	報廢		一般圖書			V1		"本館藏書	"				92-12-19
00003491	003399	故事三字經	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003492	003400	台灣俚語	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003493	003401	歡喜閱讀	館內架上		一般圖書			V1		"本館藏書	"				92-12-22
00003494	003402	我會愛	報廢		一般圖書			V2		"本館藏書	"				92-12-22
00003495	003403	帶繪本去旅行	館內架上		一般圖書			V3		"本館藏書	"				92-12-22
00003496	003404	談閱讀	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003497	003405	繪本花園	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003498	003406	青少年問題及防治對策	館內架上		一般圖書			V1		"本館藏書	"				92-12-22
00003499	003407	童書久久	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003500	003408	童話書的生命花園	報廢		一般圖書			V1		"本館藏書	"				92-12-22
00003501	003409	追尋大冠鷲	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003502	003410	太空中的甜甜圈	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003503	003411	小貝殼	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003504	003412	神秘的木乃伊	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003505	003413	和昆蟲交朋友	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003506	003414	猜猜我是誰	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003506	003414	六個男人…	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003507	003415	我為什麼要戴眼鏡?	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003507	003415	沙子變玻璃	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003508	003416	古代的兵器	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003509	003417	現代的武器	報廢		一般圖書			V1		"本館藏書	"				92-12-23
00003510	003418	我到底怎麼了?	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003510	003418	竹和竹玩具	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003511	003419	猜猜我是誰	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003511	003419	我從哪裡來?	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003512	003420	平克和薛伊	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003512	003420	飛上天	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003513	003421	三重溪水壩事件	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003513	003421	生物世界	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003514	003422	電腦課	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003514	003422	蜜蜂樹	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003515	003423	有趣的科學遊戲	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003516	003424	植物園的故事	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003517	003425	巨大的野獸	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003518	003426	袋鼠	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003519	003424	植物園的故事	報廢		一般圖書			V1C1		"本館藏書	"				92-12-29
00003520	003421	三重溪水壩事件	報廢		一般圖書			V1C1		"本館藏書	"				92-12-29
00003520	003421	生物世界	報廢		一般圖書			V1C1		"本館藏書	"				92-12-29
00003521	003427	四季的歌	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003522	003428	怎樣分類	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003523	003429	謝阿姨的菜園	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003524	003430	寄生植物	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003525	003431	花園的好朋友	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003526	003432	聽昆蟲講故事	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003527	003433	化沙漠為綠洲	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003528	003434	快樂村	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003529	003435	沙勞越自然之旅	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003530	003436	大地受傷了	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003531	003437	神秘的木乃伊	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003532	003438	茶	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003533	003439	花草童年	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003534	003440	婆羅洲雨林探險	報廢		一般圖書			V1		"本館藏書	"				92-12-29
00003535	003441	圖書館的利用-國民小學篇	報廢		一般圖書			V1		"本館藏書	"				92-12-30
00003536	003442	台北市大屯國小學童閱讀習慣調查之研究	報廢		一般圖書					"本館藏書	"				92-12-30
00003537	003443	糾正易錯字	報廢		一般圖書			V1		"本館藏書	"				93-01-05
00003538	003444	認識多音字	報廢		一般圖書			V2		"本館藏書	"				93-01-05
00003539	003445	解析多義字	報廢		一般圖書			V3		"本館藏書	"				93-01-05
00003539	003445	跟著爺爺看	報廢		一般圖書			V3		"本館藏書	"				93-01-05
00003540	003446	常見混淆詞	報廢		一般圖書			V4		"本館藏書	"				93-01-05
00003540	003446	跟著爺爺看	報廢		一般圖書			V4		"本館藏書	"				93-01-05
00003541	003447	大姊姊和小妹妹	報廢		一般圖書			V5		"本館藏書	"				93-01-05
00003541	003447	辨析同義反義詞	報廢		一般圖書			V5		"本館藏書	"				93-01-05
00003542	003448	如何遣詞造句	館內架上		一般圖書			V6		"本館藏書	"				93-01-05
00003542	003448	大姊姊和小妹妹	館內架上		一般圖書			V6		"本館藏書	"				93-01-05
00003543	003449	我的妹妹聽不見	館內架上		一般圖書			V7		"本館藏書	"				93-01-05
00003543	003449	熟練句型運用	館內架上		一般圖書			V7		"本館藏書	"				93-01-05
00003544	003450	排列組合句字	館內架上		一般圖書			V8		"本館藏書	"				93-01-05
00003545	003451	正確修改病句	報廢		一般圖書			V9		"本館藏書	"				93-01-05
00003546	003452	巧用標點符號	報廢		一般圖書			V10		"本館藏書	"				93-01-05
00003547	003453	"不要地雷,只要花(一)"	館內架上		一般圖書			V11		"本館藏書	"				93-01-05
00003547	003453	理解閱讀要領	館內架上		一般圖書			V11		"本館藏書	"				93-01-05
00003548	003454	"不要地雷,只要花(二)"	報廢		一般圖書			V12		"本館藏書	"				93-01-05
00003548	003454	有效的讀書方法	報廢		一般圖書			V12		"本館藏書	"				93-01-05
00003549	003455	靈活運用成語	報廢		一般圖書			V13		"本館藏書	"				93-01-05
00003550	003456	山芙蓉	館內架上		一般圖書			V14		"本館藏書	"				93-01-05
00003550	003456	巧妙使用諺語	館內架上		一般圖書			V14		"本館藏書	"				93-01-05
00003551	003457	活用名言名句	報廢		一般圖書			V15		"本館藏書	"				93-01-05
00003551	003457	紫花酢漿草	報廢		一般圖書			V15		"本館藏書	"				93-01-05
00003552	003458	昭和草	館內架上		一般圖書			V16		"本館藏書	"				93-01-05
00003552	003458	怎樣寫日記書信	館內架上		一般圖書			V16		"本館藏書	"				93-01-05
00003553	003459	野薑花	館內架上		一般圖書			V17		"本館藏書	"				93-01-05
00003553	003459	怎樣寫好作文	館內架上		一般圖書			V17		"本館藏書	"				93-01-05
00003554	003460	車前草	館內架上		一般圖書			V18		"本館藏書	"				93-01-05
00003554	003460	妙用作文修辭	館內架上		一般圖書			V18		"本館藏書	"				93-01-05
00003555	003461	修改作文毛病	館內架上		一般圖書			V19		"本館藏書	"				93-01-05
00003555	003461	野莧菜	館內架上		一般圖書			V19		"本館藏書	"				93-01-05
00003556	003462	作文疑難100問	館內架上		一般圖書			V20		"本館藏書	"				93-01-05
00003557	003463	作文方法100條	館內架上		一般圖書			V21		"本館藏書	"				93-01-05
00003557	003463	腎蕨	館內架上		一般圖書			V21		"本館藏書	"				93-01-05
00003558	003464	作文模範100例	館內架上		一般圖書			V22		"本館藏書	"				93-01-05
00003558	003464	雷公根	館內架上		一般圖書			V22		"本館藏書	"				93-01-05
00003559	003465	作文考試100法	館內架上		一般圖書			V23		"本館藏書	"				93-01-05
00003559	003465	筆筒樹	館內架上		一般圖書			V23		"本館藏書	"				93-01-05
00003560	003466	學習方法100則	館內架上		一般圖書			V24		"本館藏書	"				93-01-05
00003560	003466	月桃	館內架上		一般圖書			V24		"本館藏書	"				93-01-05
00003561	003467	師生古村行	館內架上		一般圖書			V1		"本館藏書	"				93-01-09
00003561	003467	火炭母草	館內架上		一般圖書			V1		"本館藏書	"				93-01-09
00003562	003468	長挭滿天星	館內架上		一般圖書			V2		"本館藏書	"				93-01-09
00003562	003468	方塊鎮的春夏秋冬	館內架上		一般圖書			V2		"本館藏書	"				93-01-09
00003563	003469	加減城的故事	館內架上		一般圖書			V3		"本館藏書	"				93-01-09
00003563	003469	五節蓉	館內架上		一般圖書			V3		"本館藏書	"				93-01-09
00003564	003470	九九歌	館內架上		一般圖書			V4		"本館藏書	"				93-01-09
00003564	003470	聲音	館內架上		一般圖書			V4		"本館藏書	"				93-01-09
00003565	003471	小雄育達的生日會	館內架上		一般圖書			V5		"本館藏書	"				93-01-09
00003565	003471	男生女生	館內架上		一般圖書			V5		"本館藏書	"				93-01-09
00003566	003473	童話	館內架上		一般圖書			V7		"本館藏書	"				93-01-09
00003566	003473	美琦野營記	館內架上		一般圖書			V7		"本館藏書	"				93-01-09
00003567	003474	和我做朋友	館內架上		一般圖書			V8		"本館藏書	"				93-01-09
00003567	003474	林大淑遊希臘	館內架上		一般圖書			V8		"本館藏書	"				93-01-09
00003568	003475	害怕鬼	遺失		一般圖書			V9		"本館藏書	"				93-01-09
00003568	003475	天平島的星期日	遺失		一般圖書			V9		"本館藏書	"				93-01-09
00003569	003476	外公的有趣房子	館內架上		一般圖書			V10		"本館藏書	"				93-01-09
00003569	003476	台北	館內架上		一般圖書			V10		"本館藏書	"				93-01-09
00003570	003477	城市與鄉村的生活	館內架上		一般圖書			V11		"本館藏書	"				93-01-09
00003570	003477	外國人	館內架上		一般圖書			V11		"本館藏書	"				93-01-09
00003571	003478	少年棒球大賽	館內架上		一般圖書			V12		"本館藏書	"				93-01-09
00003571	003478	火車	館內架上		一般圖書			V12		"本館藏書	"				93-01-09
00003572	003479	埃及古城探寶記	館內架上		一般圖書			V13		"本館藏書	"				93-01-09
00003572	003479	旅行	館內架上		一般圖書			V13		"本館藏書	"				93-01-09
00003573	003480	遊戲	館內架上		一般圖書			V14		"本館藏書	"				93-01-09
00003573	003480	阿文北行記	館內架上		一般圖書			V14		"本館藏書	"				93-01-09
00003574	003481	魔術師	館內架上		一般圖書			V15		"本館藏書	"				93-01-09
00003574	003481	兒童科學博物館	館內架上		一般圖書			V15		"本館藏書	"				93-01-09
00003575	003482	我的動物朋友	館內架上		一般圖書			V16		"本館藏書	"				93-01-09
00003575	003482	阿文南行記	館內架上		一般圖書			V16		"本館藏書	"				93-01-09
00003576	003483	認識地震	館內架上		一般圖書			V17		"本館藏書	"				93-01-09
00003576	003483	阿文西行記	館內架上		一般圖書			V17		"本館藏書	"				93-01-09
00003577	003484	發現斷層	館內架上		一般圖書			V18		"本館藏書	"				93-01-09
00003577	003484	學學怎樣設計	館內架上		一般圖書			V18		"本館藏書	"				93-01-09
00003578	003485	集集地震與車籠埔斷	館內架上		一般圖書			V149		"本館藏書	"				93-01-15
00003578	003485	奇異的動物	館內架上		一般圖書			V149		"本館藏書	"				93-01-15
00003579	003486	震後火災	館內架上		一般圖書			V144		"本館藏書	"				93-01-15
00003579	003486	猿和猴	館內架上		一般圖書			V144		"本館藏書	"				93-01-15
00003580	003487	透視崩塌	館內架上		一般圖書			V140		"本館藏書	"				93-01-15
00003580	003487	兩生動物	館內架上		一般圖書			V140		"本館藏書	"				93-01-15
00003581	003488	防震結構-地基篇	館內架上		一般圖書			V148		"本館藏書	"				93-01-15
00003581	003488	瀕臨絕種的動物	館內架上		一般圖書			V148		"本館藏書	"				93-01-15
00003582	003489	防震結構-主體篇	館內架上		一般圖書			V141		"本館藏書	"				93-01-15
00003582	003489	爬行動物	館內架上		一般圖書			V141		"本館藏書	"				93-01-15
00003583	003490	有毒動物	館內架上		一般圖書			V131		"本館藏書	"				93-01-15
00003584	003491	台灣的水果	館內架上		一般圖書			V130		"本館藏書	"				93-01-15
00003584	003491	植物奇觀	館內架上		一般圖書			V130		"本館藏書	"				93-01-15
00003585	003492	蕨類天地	館內架上		一般圖書			V129		"本館藏書	"				93-01-15
00003586	003493	植物的運動	館內架上		一般圖書			V127		"本館藏書	"				93-01-15
00003586	003493	臺灣的蝴蝶	館內架上		一般圖書			V127		"本館藏書	"				93-01-15
00003587	003494	藻類和苔蘚	館內架上		一般圖書			V128		"本館藏書	"				93-01-15
00003588	003495	植物的繁殖	館內架上		一般圖書			V126		"本館藏書	"				93-01-15
00003588	003495	臺灣的鳥類	館內架上		一般圖書			V126		"本館藏書	"				93-01-15
00003589	003496	臺灣的昆蟲	館內架上		一般圖書			V125		"本館藏書	"				93-01-15
00003589	003496	花.果和種子	館內架上		一般圖書			V125		"本館藏書	"				93-01-15
00003590	003497	棘皮動物	館內架上		一般圖書			V118		"本館藏書	"				93-01-15
00003590	003497	臺灣的蛙類	館內架上		一般圖書			V118		"本館藏書	"				93-01-15
00003591	003498	臺灣的珊瑚	館內架上		一般圖書			V117		"本館藏書	"				93-01-15
00003591	003498	草原和沙漠的生態	館內架上		一般圖書			V117		"本館藏書	"				93-01-15
00003592	003499	高山和極地生態	館內架上		一般圖書			V116		"本館藏書	"				93-01-15
00003592	003499	臺灣的海洋生物	館內架上		一般圖書			V116		"本館藏書	"				93-01-15
00003593	003500	乞丐囝仔	館內架上		一般圖書			V115		"本館藏書	"				93-01-15
00003593	003500	海岸生態	館內架上		一般圖書			V115		"本館藏書	"				93-01-15
00003594	003501	頑皮公主不出嫁	館內架上		一般圖書			V114		"本館藏書	"				93-01-15
00003594	003501	雨林生態	館內架上		一般圖書			V114		"本館藏書	"				93-01-15
00003595	003502	台灣文化	館內架上		一般圖書			V414		"本館藏書	"				93-01-15
00003595	003502	森林大熊	館內架上		一般圖書			V414		"本館藏書	"				93-01-15
00003596	003503	我們的媽媽在哪裡?	館內架上		一般圖書			V133		"本館藏書	"				93-01-15
00003596	003503	形形色色的魚	館內架上		一般圖書			V133		"本館藏書	"				93-01-15
00003597	003504	海洋哺乳動物	館內架上		一般圖書			V143		"本館藏書	"				93-01-15
00003597	003504	森林大會	館內架上		一般圖書			V143		"本館藏書	"				93-01-15
00003598	003505	動物的移棲	館內架上		一般圖書			V139		"本館藏書	"				93-01-15
00003599	003506	好髒的哈利	館內架上		一般圖書			V147		"本館藏書	"				93-01-15
00003599	003506	動物奇觀	館內架上		一般圖書			V147		"本館藏書	"				93-01-15
00003600	003507	哈利的花毛衣	館內架上		一般圖書			V132		"本館藏書	"				93-01-15
00003600	003507	軟體動物	館內架上		一般圖書			V132		"本館藏書	"				93-01-15
00003601	003508	哈利海邊歷險記	館內架上		一般圖書			V142		"本館藏書	"				93-01-15
00003601	003508	有袋動物	館內架上		一般圖書			V142		"本館藏書	"				93-01-15
00003602	003509	我最討厭你了	館內架上		一般圖書			V124		"本館藏書	"				93-01-15
00003602	003509	根.莖和葉	館內架上		一般圖書			V124		"本館藏書	"				93-01-15
00003603	003510	趣味植物小百科1	館內架上		一般圖書			V1		"本館藏書	"				93-01-19
00003603	003510	愛心樹	館內架上		一般圖書			V1		"本館藏書	"				93-01-19
00003604	003511	趣味植物小百科2	館內架上		一般圖書			V2		"本館藏書	"				93-01-19
00003604	003511	和我玩好嗎？	館內架上		一般圖書			V2		"本館藏書	"				93-01-19
00003605	003512	趣味植物小百科3	館內架上		一般圖書			V3		"本館藏書	"				93-01-19
00003605	003512	100萬隻貓	館內架上		一般圖書			V3		"本館藏書	"				93-01-19
00003606	003513	趣味植物小百科4	館內架上		一般圖書			V4		"本館藏書	"				93-01-19
00003606	003513	永愛遠你	館內架上		一般圖書			V4		"本館藏書	"				93-01-19
00003607	003514	文字的奧秘-大自然篇	報廢		一般圖書			V1		"本館藏書	"				93-01-19
00003607	003514	綠笛	報廢		一般圖書			V1		"本館藏書	"				93-01-19
00003608	003515	文字的奧秘-生活篇	館內架上		一般圖書			V2		"本館藏書	"				93-01-19
00003608	003515	阿文的小毯子	館內架上		一般圖書			V2		"本館藏書	"				93-01-19
00003609	003516	文字的奧秘-動植物與人體篇	館內架上		一般圖書			V3		"本館藏書	"				93-01-19
00003609	003516	是誰嗯嗯在我的頭上?	館內架上		一般圖書			V3		"本館藏書	"				93-01-19
00003610	003517	威威找記憶	館內架上		一般圖書					"本館藏書	"				93-01-19
00003610	003517	夢工廠	館內架上		一般圖書					"本館藏書	"				93-01-19
00003611	003518	企鵝杜比去非洲	館內架上		一般圖書					"本館藏書	"				93-01-19
00003611	003518	精采過一生	館內架上		一般圖書					"本館藏書	"				93-01-19
00003612	003519	彼得潘	館內架上		一般圖書					"本館藏書	"				93-01-19
00003613	003520	三隻小豬的真實故事	報廢		一般圖書					"本館藏書	"				93-01-19
00003613	003520	誰來我家	報廢		一般圖書					"本館藏書	"				93-01-19
00003614	003521	鯨魚	報廢		一般圖書					"本館藏書	"				93-01-19
00003614	003521	奧麗薇拯救馬戲團	報廢		一般圖書					"本館藏書	"				93-01-19
00003615	003522	哈拉老爹說故事	館內架上		一般圖書					"本館藏書	"				93-01-19
00003616	003523	當乃平遇上乃萍	報廢		一般圖書					"本館藏書	"				93-01-19
00003618	003525	一隻有教養的狼	館內架上		一般圖書					"本館藏書	"				93-01-19
00003619	000012563	阿瑟做家事	報廢	一般館藏	一般圖書					"本館藏書	"	購買			103-04-24
00003620	003527	妖精的願望	報廢		一般圖書					"本館藏書	"				93-01-19
00003621	003528	小流星亮晶晶	報廢		一般圖書					"本館藏書	"				93-01-19
00003622	003529	measuring	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003622	003529	小烏龜找房子	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003623	003530	autumn	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003624	003531	spring	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003625	003532	國小自然科影集	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003625	003532	昆蟲世界	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003626	003533	國小科學影集	報廢		一般圖書			V2		"本館藏書	"				93-01-20
00003626	003533	野生動物	報廢		一般圖書			V2		"本館藏書	"				93-01-20
00003627	003534	恐龍	報廢		一般圖書			V3		"本館藏書	"				93-01-20
00003628	003535	動物在行動	報廢		一般圖書			V4		"本館藏書	"				93-01-20
00003628	003535	自然	報廢		一般圖書			V4		"本館藏書	"				93-01-20
00003629	003536	我們生活的世界	報廢		一般圖書			V5		"本館藏書	"				93-01-20
00003630	003537	花與樹	報廢		一般圖書			V6		"本館藏書	"				93-01-20
00003630	003537	國小自然科學	報廢		一般圖書			V6		"本館藏書	"				93-01-20
00003631	003538	日常生活	館內架上		一般圖書			V7		"本館藏書	"				93-01-20
00003632	003539	小牛頓國小數學影帶	報廢		一般圖書			V8		"本館藏書	"				93-01-20
00003632	003539	事物怎樣發揮功用	報廢		一般圖書			V8		"本館藏書	"				93-01-20
00003633	003540	小小科學家	報廢		一般圖書			V9		"本館藏書	"				93-01-20
00003634	003541	輪與翼	館內架上		一般圖書			V10		"本館藏書	"				93-01-20
00003635	003542	我們周圍的事物	報廢		一般圖書			V11		"本館藏書	"				93-01-20
00003635	003542	最新科學實驗集	報廢		一般圖書			V11		"本館藏書	"				93-01-20
00003636	003543	水中生物	報廢		一般圖書			V12		"本館藏書	"				93-01-20
00003637	003544	著名的地方	報廢		一般圖書			V13		"本館藏書	"				93-01-20
00003638	003545	天空與地球	報廢		一般圖書			V14		"本館藏書	"				93-01-20
00003639	003546	自然	報廢		一般圖書			V15		"本館藏書	"				93-01-20
00003640	003547	我們的身體	報廢		一般圖書			V16		"本館藏書	"				93-01-20
00003641	003548	動物朋友	報廢		一般圖書			V17		"本館藏書	"				93-01-20
00003642	003549	食物	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003643	003550	農場	館內架上		一般圖書			V2		"本館藏書	"				93-01-20
00003644	003551	自然	館內架上		一般圖書			V3		"本館藏書	"				93-01-20
00003645	003552	家庭	館內架上		一般圖書			V4		"本館藏書	"				93-01-20
00003646	003553	睡眠時間	館內架上		一般圖書			V5		"本館藏書	"				93-01-20
00003647	003554	昆蟲	館內架上		一般圖書			V6		"本館藏書	"				93-01-20
00003648	003555	城市	館內架上		一般圖書			V7		"本館藏書	"				93-01-20
00003649	003556	建築	館內架上		一般圖書			V8		"本館藏書	"				93-01-20
00003650	003557	天氣	館內架上		一般圖書			V9		"本館藏書	"				93-01-20
00003651	003558	海灘	館內架上		一般圖書			V10		"本館藏書	"				93-01-20
00003652	003559	動物	館內架上		一般圖書			V11		"本館藏書	"				93-01-20
00003653	003560	交通	館內架上		一般圖書			V12		"本館藏書	"				93-01-20
00003654	003561	水	館內架上		一般圖書			V13		"本館藏書	"				93-01-20
00003655	003562	人體	館內架上		一般圖書			V14		"本館藏書	"				93-01-20
00003656	003563	事物運作原理	館內架上		一般圖書			V15		"本館藏書	"				93-01-20
00003657	003564	社區	館內架上		一般圖書			V16		"本館藏書	"				93-01-20
00003658	003565	草原動物1	館內架上		一般圖書			V1		"本館藏書	"				93-01-20
00003659	003566	草原動物2	館內架上		一般圖書			V2		"本館藏書	"				93-01-20
00003660	003567	"甲蟲先生漫遊記.留神阿,小瓢蟲1"	館內架上		一般圖書			V3		"本館藏書	"				93-01-20
00003661	003568	恐龍進城.小豆豆	館內架上		一般圖書			V4		"本館藏書	"				93-01-20
00003662	003569	樹的一年.奇巧最喜歡的樹	館內架上		一般圖書			V5		"本館藏書	"				93-01-20
00003663	003570	岸邊動物與海洋動物	館內架上		一般圖書			V6		"本館藏書	"				93-01-20
00003664	003571	森林動物	館內架上		一般圖書			V7		"本館藏書	"				93-01-20
00003665	003572	雨天的故事.雪孩子來拜訪	館內架上		一般圖書			V8		"本館藏書	"				93-01-20
00003666	003573	家養的動物	館內架上		一般圖書			V9		"本館藏書	"				93-01-20
00003667	003574	小毛和阿茂.神奇魚	館內架上		一般圖書			V10		"本館藏書	"				93-01-20
00003668	003575	老是睏和老是餓.森林孩子彼得	館內架上		一般圖書			V11		"本館藏書	"				93-01-20
00003669	003576	你好我是雪人.莉莉的雪人	館內架上		一般圖書			V12		"本館藏書	"				93-01-20
00003670	003577	貓頭鷹和月亮.我能飛了!	館內架上		一般圖書			V13		"本館藏書	"				93-01-20
00003671	003578	國王登月記.月亮	館內架上		一般圖書			V14		"本館藏書	"				93-01-20
00003672	003579	世界地圖集	報廢		一般圖書			V1		"本館藏書	"				93-01-27
00003673	003580	娛樂與藝術	報廢		一般圖書			V2		"本館藏書	"				93-01-27
00003674	003581	昆蟲與蜘蛛	報廢		一般圖書			V3		"本館藏書	"				93-01-27
00003675	003582	科學	館內架上		一般圖書			V4		"本館藏書	"				93-01-27
00003676	003583	交通運輸	報廢		一般圖書			V5		"本館藏書	"				93-01-27
00003677	003584	機器	報廢		一般圖書			V6		"本館藏書	"				93-01-27
00003678	003585	你的身體	報廢		一般圖書			V7		"本館藏書	"				93-01-27
00003679	003586	過去的人物	報廢		一般圖書			V8		"本館藏書	"				93-01-27
00003680	003587	地球	館內架上		一般圖書			V9		"本館藏書	"				93-01-27
00003681	003588	植物	館內架上		一般圖書			V10		"本館藏書	"				93-01-27
00003682	003589	海洋生物	館內架上		一般圖書			V11		"本館藏書	"				93-01-27
00003683	003590	食物與農業	報廢		一般圖書			V12		"本館藏書	"				93-01-27
00003684	003591	體育運動	報廢		一般圖書			V13		"本館藏書	"				93-01-27
00003685	003592	恐龍	報廢		一般圖書			V14		"本館藏書	"				93-01-27
00003686	003593	鳥類	報廢		一般圖書			V15		"本館藏書	"				93-01-27
00003687	003594	民族與地區	報廢		一般圖書			V16		"本館藏書	"				93-01-27
00003688	003595	太空	報廢		一般圖書			V17		"本館藏書	"				93-01-27
00003689	003596	能源與工業	報廢		一般圖書			V18		"本館藏書	"				93-01-27
00003690	003597	叢林動物	報廢		一般圖書			V19		"本館藏書	"				93-01-27
00003691	003598	哺乳動物	報廢		一般圖書			V20		"本館藏書	"				93-01-27
00003692	003599	蘿西與蘋果酒	館內架上		一般圖書					"本館藏書	"				93-01-27
00003693	003600	繪本教學DIY	館內架上		一般圖書					"本館藏書	"				93-01-27
00003694	003294	五年六斑的讀書單	館內架上		一般圖書			C1		"本館藏書	"				93-01-27
00003694	003294	愛的小小百科23	館內架上		一般圖書			C1		"本館藏書	"				93-01-27
00003695	003601	校園常見植物圖鑑	報廢		一般圖書					"本館藏書	"				93-01-27
00003696	003602	西非荒漠上的台灣奇蹟	報廢		一般圖書					"本館藏書	"				93-01-27
00003697	003603	魔笛	館內架上		一般圖書			V1		"本館藏書	"				93-01-27
00003699	003605	天鵝湖	館內架上		一般圖書			V3		"本館藏書	"				93-01-27
00003700	003606	火鳥	館內架上		一般圖書			V4		"本館藏書	"				93-01-27
00003701	003607	杜蘭朵公主	館內架上		一般圖書			V5		"本館藏書	"				93-01-27
